location,sample date,Ammonium,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Dissolved oxygen,Nitrates,Nitrites,Orthophosphate-phosphorus,Total nitrogen,Total phosphorus,Water temperature
Busarakhan,2015-03-15,       0.17,       1.26,      25.27,       8.57,       3.20,       0.03,       0.03,       3.52,       0.08,       9.60
Busarakhan,2015-03-21,       0.04,       1.60,      25.27,       9.48,       2.84,       0.02,       0.05,       3.11,       0.07,      10.00
Busarakhan,2015-03-27,       0.05,       1.71,      25.27,       8.78,       2.56,       0.03,       0.05,       3.12,       0.06,      11.60
Busarakhan,2015-04-23,       0.06,       1.81,      25.27,       8.07,       2.29,       0.03,       0.04,       3.12,       0.05,      13.20
Busarakhan,2015-04-25,       0.04,       2.08,      25.27,       8.08,       1.97,       0.03,       0.04,       2.59,       0.06,      16.20
Busarakhan,2015-05-25,       0.02,       2.34,      25.27,       8.08,       1.65,       0.03,       0.04,       2.05,       0.07,      19.20
Busarakhan,2015-05-27,       0.00,       2.61,      25.27,       8.09,       1.33,       0.02,       0.04,       1.52,       0.08,      22.20
Busarakhan,2015-06-06,       0.07,       4.22,      25.27,       5.62,       2.02,       0.04,       0.11,       2.29,       0.12,      23.50
Busarakhan,2015-06-17,       0.09,       1.53,      25.74,       8.13,       1.81,       0.01,       0.03,       1.99,       0.05,      26.20
Busarakhan,2015-06-28,       0.15,       1.79,      26.21,       6.22,       1.83,       0.01,       0.03,       2.10,       0.05,      25.15
Busarakhan,2015-07-23,       0.20,       2.04,      26.68,       4.31,       1.85,       0.01,       0.03,       2.20,       0.05,      24.10
Busarakhan,2015-08-10,       0.49,       2.30,      27.15,       9.61,       1.84,       0.02,       0.07,       2.36,       0.11,      11.00
Busarakhan,2015-08-21,       0.09,       1.46,      27.16,       7.67,       1.09,       0.02,       0.05,       1.31,       0.08,      26.50
Busarakhan,2015-08-28,       0.08,       2.09,      27.18,       7.75,       0.93,       0.01,       0.03,       1.15,       0.07,      27.50
Busarakhan,2015-09-08,       0.07,       2.73,      27.20,       7.83,       0.77,       0.01,       0.02,       0.99,       0.05,      28.50
Busarakhan,2015-09-09,       0.05,       1.63,      27.21,       7.68,       1.55,       0.03,       0.04,       1.78,       0.05,      19.00
Busarakhan,2015-09-12,       0.10,       1.54,      26.61,      11.97,       1.86,       0.02,       0.06,       1.98,       0.06,       2.00
Busarakhan,2015-09-22,       0.12,       1.64,      28.12,       8.05,       1.18,       0.04,       0.06,       1.39,       0.08,      17.00
Busarakhan,2015-09-24,       0.07,       2.55,      28.64,       8.74,       1.99,       0.03,       0.04,       2.38,       0.12,      14.50
Busarakhan,2015-10-04,       0.03,       3.46,      29.16,       9.43,       2.80,       0.03,       0.02,       3.38,       0.15,      12.00
Busarakhan,2015-10-05,       0.07,       1.55,      26.47,       8.02,       1.69,       0.05,       0.05,       2.36,       0.06,      21.50
Busarakhan,2015-10-15,       0.15,       1.03,      28.14,       9.21,       1.68,       0.03,       0.05,       1.95,       0.08,      13.50
Busarakhan,2015-10-30,       0.11,       2.26,      29.82,       9.96,       1.64,       0.02,       0.03,       1.84,       0.06,      13.00
Busarakhan,2015-11-11,       0.08,       3.50,      31.49,      10.71,       1.59,       0.01,       0.01,       1.73,       0.05,      12.50
Busarakhan,2015-11-18,       0.12,       2.54,      31.65,      10.24,       1.38,       0.01,       0.04,       1.52,       0.07,       9.10
Busarakhan,2015-11-28,       0.09,       3.31,      31.82,       9.96,       1.41,       0.01,       0.01,       1.54,       0.05,       4.80
Busarakhan,2015-12-07,       0.08,       5.90,      31.98,       5.83,       1.65,       0.00,       0.06,       1.92,       0.08,      27.00
Busarakhan,2015-12-19,       0.10,       1.61,      28.53,      10.66,       1.76,       0.02,       0.02,       1.91,       0.05,       2.80
Busarakhan,2016-01-14,       0.09,       1.56,      25.08,      10.12,       2.14,       0.01,       0.01,       2.45,       0.09,       2.00
Busarakhan,2016-01-24,       0.08,       1.91,      25.70,      10.60,       1.91,       0.02,       0.02,       2.44,       0.11,       2.03
Busarakhan,2016-02-14,       0.07,       2.26,      26.32,      11.08,       1.68,       0.02,       0.02,       2.42,       0.14,       2.07
Busarakhan,2016-02-26,       0.06,       2.61,      26.94,      11.56,       1.45,       0.03,       0.03,       2.41,       0.16,       2.10
Busarakhan,2016-03-20,       0.14,       1.49,      27.56,       8.81,       1.94,       0.02,       0.02,       2.46,       0.02,      17.00
Busarakhan,2016-04-18,       0.11,       2.68,      28.18,       8.09,       1.82,       0.02,       0.02,       2.20,       0.07,      17.15
Busarakhan,2016-04-24,       0.09,       3.87,      28.80,       7.37,       1.70,       0.02,       0.03,       1.94,       0.11,      17.30
Busarakhan,2016-05-14,       0.09,       2.21,      29.42,       8.64,       0.81,       0.04,       0.04,       1.54,       0.07,      17.20
Busarakhan,2016-05-22,       0.09,       2.88,      28.11,       7.97,       1.04,       0.04,       0.04,       1.61,       0.06,      19.60
Busarakhan,2016-05-26,       0.09,       3.55,      26.81,       7.31,       1.27,       0.03,       0.04,       1.69,       0.06,      22.00
Busarakhan,2016-06-02,       0.46,       1.10,      25.50,      11.80,       1.83,       0.02,       0.07,       2.39,       0.08,       3.00
Busarakhan,2016-06-13,       0.28,       1.75,      27.51,      10.07,       1.22,       0.02,       0.06,       1.77,       0.10,      12.80
Busarakhan,2016-06-16,       0.11,       2.40,      29.52,       8.33,       0.61,       0.02,       0.05,       1.16,       0.12,      22.60
Busarakhan,2016-06-26,       0.16,       4.13,      31.48,       3.93,       0.61,       0.01,       0.03,       1.59,       0.07,      23.40
Busarakhan,2016-07-14,       0.09,       1.33,      33.45,       7.84,       1.17,       0.02,       0.03,       1.44,       0.11,      24.50
Busarakhan,2016-07-20,       0.13,       1.65,      33.02,       7.01,       0.92,       0.02,       0.09,       1.54,       0.23,      23.80
Busarakhan,2016-07-22,       0.09,       1.50,      32.59,       6.93,       1.23,       0.02,       0.07,       1.73,       0.23,      25.00
Busarakhan,2016-07-24,       0.06,       1.36,      32.17,       6.85,       1.54,       0.02,       0.05,       1.92,       0.24,      26.20
Busarakhan,2016-08-04,       0.05,       4.30,      31.74,       9.43,       1.87,       0.01,       0.05,       2.14,       0.09,      12.50
Busarakhan,2016-08-12,       0.26,       0.80,      27.21,      10.61,       1.65,       0.02,       0.06,       2.13,       0.07,       2.00
Busarakhan,2016-08-19,       0.04,       4.18,      27.98,       3.18,       0.59,       0.01,       0.14,       1.11,       0.18,      22.00
Busarakhan,2016-08-28,       0.05,       2.84,      28.75,       5.53,       0.79,       0.01,       0.09,       1.15,       0.12,      23.25
Busarakhan,2016-09-09,       0.06,       1.50,      29.52,       7.87,       0.99,       0.01,       0.04,       1.18,       0.06,      24.50
Busarakhan,2016-09-12,       0.05,       1.31,      31.39,       8.07,       1.14,       0.01,       0.04,       1.42,       0.07,      22.75
Busarakhan,2016-09-17,       0.04,       1.12,      33.26,       8.27,       1.28,       0.01,       0.05,       1.66,       0.09,      21.00
Busarakhan,2016-09-24,       0.06,       1.07,      35.14,       7.50,       0.89,       0.01,       0.04,       1.12,       0.08,      17.10
Busarakhan,2016-09-30,       0.06,       1.06,      37.01,       7.96,       0.76,       0.02,       0.04,       1.24,       0.08,      16.25
Busarakhan,2016-10-15,       0.06,       1.06,      38.88,       8.41,       0.63,       0.02,       0.04,       1.36,       0.08,      15.40
Busarakhan,2016-10-27,       0.06,       1.30,      34.40,       7.25,       0.91,       0.01,       0.02,       1.21,       0.06,      11.50
Busarakhan,2016-10-29,       0.08,       1.36,      29.93,       9.34,       1.21,       0.01,       0.04,       1.82,       0.05,       8.55
Busarakhan,2016-11-02,       0.10,       1.42,      25.45,      11.42,       1.51,       0.01,       0.06,       2.42,       0.05,       5.60
Busarakhan,2016-11-03,       0.02,       1.39,      25.50,      11.48,       1.88,       0.03,       0.02,       2.83,       0.04,       6.00
Busarakhan,2016-11-08,       0.04,       2.93,      31.89,       7.04,       1.49,       0.01,       0.10,       2.22,       0.18,      26.20
Busarakhan,2016-11-25,       0.06,       1.14,      31.55,      10.94,       1.04,       0.02,       0.04,       1.54,       0.09,       4.00
Busarakhan,2016-11-27,       0.05,       1.99,      31.21,       8.99,       0.75,       0.02,       0.03,       1.26,       0.07,       6.50
Busarakhan,2016-12-11,       0.04,       2.84,      30.87,       7.04,       0.47,       0.01,       0.02,       0.98,       0.06,       9.00
Busarakhan,2016-12-17,       0.15,       1.10,      26.09,      10.34,       1.04,       0.03,       0.02,       1.26,       0.06,       3.00
Chai,2009-01-18,       0.16,       3.43,      21.32,       9.30,       1.29,       0.02,       0.07,       1.75,       0.09,       4.67
Chai,2009-02-26,       0.44,       4.07,      22.14,      11.67,       1.96,       0.01,       0.13,       2.90,       0.14,       5.00
Chai,2009-03-20,       0.14,       3.42,      22.96,       8.90,       1.77,       0.02,       0.13,       3.59,       0.20,      10.67
Chai,2009-03-28,       0.15,       2.43,      28.94,      10.07,       1.45,       0.03,       0.04,       2.40,       0.04,      10.00
Chai,2009-04-18,       0.19,       2.83,      36.08,       9.47,       1.92,       0.06,       0.33,       2.60,       0.53,      13.67
Chai,2009-04-26,       0.07,       3.60,      25.73,      11.47,       1.11,       0.02,       0.07,       1.63,       0.09,      15.67
Chai,2009-05-10,       0.12,       1.50,      21.37,       8.60,       1.52,       0.08,       0.08,       2.05,       0.11,      17.00
Chai,2009-05-12,       0.13,       1.30,      27.90,      10.20,       1.54,       0.02,       0.04,       2.02,       0.24,      11.00
Chai,2009-05-21,       0.23,       2.67,      21.37,       8.40,       1.47,       0.01,       0.11,       2.13,       0.35,      17.17
Chai,2009-05-30,       0.24,       2.93,      29.52,       8.50,       1.33,       0.02,       0.08,       1.89,       0.09,      18.00
Chai,2009-06-14,       0.18,       1.90,      23.01,       7.13,       1.40,       0.03,       0.01,       1.88,       0.02,      22.00
Chai,2009-06-27,       0.17,       1.03,      23.01,       6.97,       1.29,       0.03,       0.02,       1.79,       0.19,      24.00
Chai,2009-07-24,       0.19,       3.37,      23.02,       6.80,       1.16,       0.01,       0.01,       2.53,       0.05,      24.67
Chai,2009-08-02,       0.40,       3.87,      22.96,      10.00,       2.31,       0.02,       0.11,       3.27,       0.12,       5.67
Chai,2009-08-23,       0.14,       2.40,      22.96,       7.60,       1.15,       0.02,       0.05,       1.56,       0.12,      27.33
Chai,2009-08-31,       0.18,       2.77,      23.02,       7.57,       1.36,       0.02,       0.05,       1.87,       0.08,      25.67
Chai,2009-09-07,       0.15,       1.23,      23.09,       6.97,       1.10,       0.04,       0.01,       1.53,       0.01,      22.00
Chai,2009-09-22,       0.13,       1.13,      24.60,       8.57,       1.54,       0.02,       0.07,       2.07,       0.23,      18.40
Chai,2009-10-19,       0.11,       1.50,      21.37,       8.70,       1.41,       0.02,       0.12,       1.93,       0.13,      16.50
Chai,2009-10-31,       0.03,       3.33,      22.96,       8.87,       1.59,       0.02,       0.06,       1.95,       0.18,      13.67
Chai,2009-11-01,       0.13,       2.53,      24.60,      10.23,       1.10,       0.03,       0.11,       1.51,       0.12,       6.00
Chai,2009-11-16,       0.11,       2.80,      21.32,      10.13,       1.74,       0.02,       0.09,       2.24,       0.23,       5.00
Chai,2009-11-21,       0.10,       3.10,      22.96,       9.67,       1.57,       0.03,       0.03,       2.04,       0.23,       7.50
Chai,2009-11-29,       0.10,       3.07,      22.96,      10.30,       1.57,       0.04,       0.02,       2.04,       0.06,       8.50
Chai,2009-12-13,       0.11,       2.91,      21.87,      10.77,       1.51,       0.02,       0.06,       1.96,       0.08,       5.00
Chai,2009-12-21,       0.08,       2.76,      20.77,      10.50,       1.46,       0.02,       0.03,       1.87,       0.05,       3.00
Chai,2010-01-17,       0.31,       2.60,      19.68,      10.33,       2.38,       0.04,       0.05,       3.27,       0.11,       0.00
Chai,2010-01-29,       0.18,       2.40,      26.24,      11.87,       2.19,       0.03,       0.04,       2.88,       0.05,       2.00
Chai,2010-02-20,       0.18,       2.13,      22.68,      12.27,       2.63,       0.04,       0.06,       3.44,       0.10,       4.00
Chai,2010-02-28,       0.19,       2.40,      21.95,      12.30,       2.03,       0.02,       0.06,       2.94,       0.13,       5.00
Chai,2010-03-18,       0.14,       2.20,      24.60,      12.13,       1.58,       0.03,       0.02,       2.28,       0.07,      10.33
Chai,2010-03-28,       0.50,       1.10,      24.66,       9.13,       1.72,       0.02,       0.06,       2.68,       0.09,      15.00
Chai,2010-04-09,       0.26,       2.47,      22.96,       9.00,       1.08,       0.03,       0.01,       1.64,       0.04,      26.67
Chai,2010-04-16,       0.07,       2.40,      24.60,      11.27,       2.02,       0.04,       0.03,       2.49,       0.20,       8.00
Chai,2010-04-23,       0.12,       2.10,      25.72,       9.03,       1.84,       0.02,       0.04,       2.38,       0.06,      14.67
Chai,2010-05-29,       0.18,       2.43,      26.83,       7.93,       1.30,       0.03,       0.01,       1.81,       0.07,      20.00
Chai,2010-06-17,       0.25,       2.30,      27.95,       8.27,       1.66,       0.01,       0.03,       2.31,       0.04,      25.00
Chai,2010-06-30,       0.24,       2.73,      27.91,       7.87,       0.34,       0.03,       0.01,       0.73,       0.02,      25.00
Chai,2010-07-15,       0.20,       1.93,      27.87,       7.60,       0.97,       0.02,       0.01,       1.42,       0.11,      24.67
Chai,2010-07-23,       0.08,       1.87,      26.82,       7.77,       1.13,       0.03,       0.01,       1.46,       0.08,      20.67
Chai,2010-08-26,       0.14,       2.20,      25.78,       7.93,       1.01,       0.04,       0.01,       1.43,       0.04,      24.67
Chai,2010-09-05,       0.23,       2.23,      24.74,       8.87,       1.45,       0.04,       0.01,       2.04,       0.01,      15.00
Chai,2010-10-13,       0.19,       2.30,      21.95,       8.47,       1.53,       0.01,       0.02,       2.06,       0.15,      20.00
Chai,2010-10-29,       0.16,       2.10,      20.71,       9.77,       1.79,       0.01,       0.03,       2.34,       0.10,      16.17
Chai,2010-11-08,       0.26,       1.23,      19.48,       7.03,       0.94,       0.02,       0.04,       1.45,       0.04,      26.83
Chai,2010-11-12,       0.11,       2.40,      23.40,      10.77,       1.68,       0.01,       0.03,       2.16,       0.09,       7.00
Chai,2010-11-13,       0.12,       2.23,      23.40,      11.13,       1.83,       0.02,       0.02,       2.35,       0.05,       9.67
Chai,2010-11-26,       0.12,       2.40,      23.60,      11.20,       1.34,       0.01,       0.01,       1.69,       0.02,       3.33
Chai,2010-11-28,       0.12,       2.30,      23.80,      11.17,       1.83,       0.02,       0.02,       2.37,       0.03,       5.17
Chai,2010-12-09,       0.11,       2.28,      24.00,      11.15,       1.13,       0.01,       0.01,       1.50,       0.14,      27.17
Chai,2010-12-15,       0.13,       2.27,      24.20,      11.13,       1.73,       0.02,       0.02,       2.25,       0.08,       5.00
Chai,2010-12-18,       0.16,       2.30,      24.40,      11.03,       1.71,       0.02,       0.03,       2.26,       0.09,       5.83
Chai,2011-01-14,       0.26,       1.60,      24.60,      11.17,       2.12,       0.02,       0.05,       2.31,       0.11,       5.00
Chai,2011-01-26,       0.20,       1.86,      22.67,      11.00,       1.73,       0.01,       0.04,       2.35,       0.14,      11.00
Chai,2011-02-18,       0.20,       2.12,      20.75,      11.47,       2.03,       0.02,       0.04,       2.39,       0.06,       8.00
Chai,2011-03-08,       0.32,       2.38,      18.82,       6.68,       1.42,       0.03,       0.04,       2.44,       0.11,      26.50
Chai,2011-03-12,       0.17,       2.02,      19.58,       9.93,       1.88,       0.02,       0.04,       2.48,       0.12,      11.00
Chai,2011-03-25,       0.14,       2.96,      22.84,      11.10,       2.70,       0.05,       0.00,       2.51,       0.11,       5.83
Chai,2011-04-23,       0.14,       2.41,      23.48,      10.97,       2.15,       0.02,       0.00,       2.54,       0.08,      10.00
Chai,2011-05-22,       0.15,       1.85,      24.12,       8.70,       1.00,       0.01,       0.00,       2.57,       0.04,      20.33
Chai,2011-05-26,       0.12,       1.87,      24.12,       8.24,       1.54,       0.02,       0.00,       2.60,       0.04,      23.83
Chai,2011-06-18,       0.33,       3.11,      23.02,       8.62,       1.04,       0.03,       0.02,       2.64,       0.04,      23.50
Chai,2011-06-24,       0.31,       3.50,      24.66,       6.00,       0.99,       0.02,       0.00,       2.67,       0.04,      26.00
Chai,2011-07-17,       0.24,       1.66,      23.40,       6.53,       1.98,       0.07,       0.02,       2.70,       0.09,      25.00
Chai,2011-07-28,       0.14,       2.33,      18.72,       8.04,       1.34,       0.02,       0.00,       2.73,       0.09,      26.00
Chai,2011-08-04,       0.15,       2.02,      18.72,      10.84,       2.44,       0.03,       0.05,       2.76,       0.06,      10.00
Chai,2011-08-14,       0.10,       1.71,      18.72,       8.15,       1.33,       0.01,       0.06,       2.79,       0.07,      25.00
Chai,2011-09-03,       0.22,       3.16,      22.84,      11.69,       1.99,       0.03,       0.01,       2.82,       0.04,       8.83
Chai,2011-09-12,       0.29,       1.98,      18.72,       9.78,       2.07,       0.02,       0.00,       2.85,       0.46,       9.20
Chai,2011-09-28,       0.08,       2.18,      21.84,       7.52,       1.27,       0.02,       0.07,       2.44,       0.10,      20.33
Chai,2011-09-30,       0.22,       1.51,      23.40,       8.35,       1.47,       0.02,       0.06,       2.04,       0.11,      21.00
Chai,2011-10-17,       0.06,       2.12,      15.60,       8.49,       1.28,       0.02,       0.03,       1.63,       0.07,      17.50
Chai,2011-10-28,       0.15,       1.54,      17.16,       9.28,       1.59,       0.01,       0.02,       2.11,       0.09,      16.00
Chai,2011-11-02,       0.21,       1.70,      17.94,      10.87,       2.06,       0.04,       0.08,       2.26,       0.16,      10.00
Chai,2011-11-11,       0.12,       1.87,      18.72,       8.81,       1.87,       0.03,       0.05,       2.41,       0.12,      14.83
Chai,2011-11-18,       0.12,       1.37,      22.85,       9.21,       1.88,       0.02,       0.02,       2.42,       0.09,      15.00
Chai,2011-12-08,       0.22,       2.67,      21.95,       8.33,       1.30,       0.01,       0.02,       2.90,       0.06,      25.00
Chai,2011-12-14,       0.90,       2.01,      20.28,       9.78,       1.91,       0.01,       0.00,       3.39,       0.05,       4.00
Chai,2012-01-06,       0.36,       1.80,      21.49,       8.21,       1.90,       0.02,       0.07,       2.72,       0.15,      19.83
Chai,2012-01-09,       0.29,       1.65,      23.40,       8.38,       1.84,       0.01,       0.05,       2.57,       0.14,      22.00
Chai,2012-01-11,       0.31,       2.90,      23.15,      10.44,       2.15,       0.01,       0.03,       2.96,       0.11,      14.17
Chai,2012-01-28,       0.31,       1.79,      19.58,       9.53,       2.19,       0.03,       0.02,       3.03,       0.04,       2.00
Chai,2012-02-07,       0.07,       2.64,      29.23,       8.60,       1.63,       0.02,       0.10,       2.07,       0.12,      22.00
Chai,2012-02-17,       0.32,       1.68,      18.72,      10.65,       2.29,       0.03,       0.03,       3.16,       0.07,       4.00
Chai,2012-03-15,       0.06,       2.60,      19.99,      11.18,       2.25,       0.02,       0.03,       2.79,       0.12,       4.83
Chai,2012-03-25,       0.14,       2.67,      21.69,       9.83,       1.18,       0.02,       0.04,       1.80,       0.09,      11.00
Chai,2012-04-05,       0.20,       2.51,      23.40,       9.26,       1.66,       0.04,       0.03,       2.27,       0.07,      19.33
Chai,2012-04-15,       0.13,       1.60,      22.84,       9.74,       1.86,       0.02,       0.03,       2.40,       0.05,      14.00
Chai,2012-04-29,       0.05,       1.63,      20.78,      10.21,       2.05,       0.01,       0.03,       2.53,       0.18,      13.83
Chai,2012-05-02,       0.27,       2.12,      18.72,      10.68,       2.00,       0.03,       0.03,       2.75,       0.04,       0.50
Chai,2012-05-10,       0.14,       1.28,      18.72,       8.47,       1.79,       0.01,       0.07,       2.32,       0.11,      16.00
Chai,2012-05-21,       0.23,       3.17,      20.18,       7.83,       1.54,       0.03,       0.08,       2.16,       0.10,      18.00
Chai,2012-06-12,       0.12,       2.03,      21.63,       8.27,       2.22,       0.02,       0.09,       2.82,       0.20,       6.83
Chai,2012-06-22,       0.28,       2.25,      21.30,       7.89,       1.57,       0.01,       0.05,       2.24,       0.08,      22.00
Chai,2012-07-30,       0.20,       2.54,      20.96,       7.43,       1.29,       0.01,       0.01,       1.80,       0.10,      25.00
Chai,2012-08-19,       0.08,       1.47,      20.62,       7.38,       1.59,       0.03,       0.05,       2.04,       0.10,      27.00
Chai,2012-09-08,       0.21,       2.56,      20.28,       7.61,       1.33,       0.02,       0.03,       1.86,       0.10,      29.33
Chai,2012-09-11,       0.49,       1.32,      20.47,       8.03,       1.78,       0.03,       0.02,       2.75,       0.08,      10.00
Chai,2012-09-12,       0.12,       1.96,      20.65,       8.48,       2.11,       0.02,       0.04,       2.68,       0.13,       5.83
Chai,2012-09-17,       0.23,       1.42,      20.84,       8.89,       1.11,       0.03,       0.06,       1.65,       0.34,      22.17
Chai,2012-10-25,       0.07,       1.60,      21.03,       9.31,       1.70,       0.01,       0.05,       2.12,       0.08,      13.33
Chai,2012-11-01,       0.29,       1.32,      21.21,       9.87,       1.99,       0.03,       0.00,       2.75,       0.09,       6.17
Chai,2012-11-15,       0.30,       1.32,      22.34,       8.09,       2.08,       0.01,       0.02,       2.86,       0.03,      15.00
Chai,2012-12-27,       0.12,       1.83,      23.47,      11.03,       1.92,       0.02,       0.09,       2.45,       0.11,       5.00
Chai,2013-01-08,       0.01,       3.09,      24.60,       7.02,       0.72,       0.02,       0.01,       1.44,       0.03,      22.00
Chai,2013-01-21,       0.13,       2.06,      26.99,      10.02,       1.94,       0.04,       0.06,       2.53,       0.09,       3.00
Chai,2013-02-02,       0.22,       1.20,      29.37,      10.54,       3.38,       0.03,       0.06,       4.35,       0.08,       2.00
Chai,2013-02-15,       0.18,       1.84,      26.93,      11.45,       2.36,       0.05,       0.07,       3.11,       0.09,       2.00
Chai,2013-03-18,       0.06,       1.51,      24.48,       8.66,       2.88,       0.01,       0.02,       3.54,       0.05,       7.00
Chai,2013-03-23,       0.06,       2.33,      23.22,      11.32,       2.10,       0.01,       0.02,       2.60,       0.03,       8.00
Chai,2013-04-05,       0.11,       1.51,      21.95,       8.35,       1.59,       0.01,       0.01,       2.06,       0.01,      13.83
Chai,2013-04-07,       0.03,       2.56,      24.60,       8.72,       0.87,       0.02,       0.03,       0.98,       0.03,      21.00
Chai,2013-04-10,       0.01,       0.31,      26.99,       8.33,       1.15,       0.02,       0.02,       1.48,       0.06,      19.00
Chai,2013-04-13,       0.23,       1.24,      22.81,       8.52,       2.15,       0.01,       0.02,       2.87,       0.02,      12.97
Chai,2013-05-04,       0.04,       2.18,      18.64,       9.31,       1.75,       0.02,       0.02,       2.17,       0.03,      10.33
Chai,2013-05-12,       0.14,       1.72,      26.61,       8.43,       1.52,       0.01,       0.08,       2.02,       0.10,       6.50
Chai,2013-05-19,       0.11,       1.74,      26.25,       8.33,       1.37,       0.02,       0.05,       1.80,       0.09,      15.25
Chai,2013-05-31,       0.09,       1.75,      25.90,       8.22,       1.21,       0.02,       0.03,       1.58,       0.09,      24.00
Chai,2013-06-09,       0.01,       0.38,      25.54,       7.22,       0.87,       0.01,       0.04,       1.01,       0.05,      24.00
Chai,2013-06-15,       0.20,       1.46,      23.30,       6.95,       1.14,       0.02,       0.01,       1.63,       0.02,      22.00
Chai,2013-06-28,       0.36,       5.27,      23.78,      10.01,       1.80,       0.06,       0.02,       2.66,       0.02,      19.00
Chai,2013-07-18,       0.09,       2.52,      24.26,       8.84,       0.69,       0.01,       0.00,       0.96,       0.01,      27.00
Chai,2013-08-31,       0.14,       0.99,      24.74,       6.34,       0.84,       0.01,       0.06,       1.45,       0.08,      24.00
Chai,2013-09-28,       0.11,       1.74,      25.22,       8.77,       1.31,       0.02,       0.04,       1.64,       0.05,      21.67
Chai,2013-10-11,       0.11,       1.38,      25.70,      10.66,       1.27,       0.01,       0.08,       2.23,       0.10,       9.50
Chai,2013-10-27,       0.08,       0.78,      25.13,      10.05,       1.39,       0.01,       0.11,       1.53,       0.15,      12.50
Chai,2013-11-21,       0.15,       1.74,      24.55,       9.88,       1.27,       0.01,       0.07,       1.84,       0.09,       8.00
Chai,2013-11-30,       0.06,       0.00,      23.98,       7.78,       1.62,       0.07,       0.07,       2.00,       0.08,       5.90
Chai,2013-12-01,       0.12,       2.14,      23.40,      10.87,       2.13,       0.02,       0.11,       2.72,       0.15,       3.00
Chai,2013-12-13,       0.33,       1.41,      23.69,      10.56,       1.64,       0.01,       0.11,       2.13,       0.14,       5.00
Chai,2013-12-15,       0.26,       1.43,      23.98,      10.05,       1.63,       0.01,       0.09,       2.11,       0.11,       7.00
Chai,2014-01-18,       0.22,       2.23,      24.27,      11.33,       1.91,       0.02,       0.08,       2.39,       0.12,       4.00
Chai,2014-01-23,       0.18,       3.04,      24.56,      12.61,       2.19,       0.03,       0.06,       2.68,       0.14,       1.00
Chai,2014-01-30,       0.13,       1.23,      23.97,      12.76,       2.21,       0.02,       0.07,       2.62,       0.07,       1.00
Chai,2014-02-15,       0.13,       1.50,      23.38,      12.30,       2.23,       0.02,       0.07,       2.60,       0.07,       2.67
Chai,2014-02-24,       0.12,       1.77,      22.78,      11.85,       2.25,       0.02,       0.06,       2.58,       0.08,       4.33
Chai,2014-03-14,       0.11,       2.04,      22.19,      11.40,       2.27,       0.02,       0.06,       2.56,       0.08,       6.00
Chai,2014-03-17,       0.09,       1.84,      21.59,      10.66,       2.29,       0.02,       0.05,       2.69,       0.08,       7.00
Chai,2014-03-19,       0.08,       1.63,      21.00,       9.92,       2.30,       0.02,       0.05,       2.83,       0.07,       8.00
Chai,2014-03-28,       0.08,       1.39,      21.11,       9.66,       2.35,       0.02,       0.06,       2.50,       0.08,      10.17
Chai,2014-03-29,       0.05,       1.60,      21.22,       9.47,       2.11,       0.02,       0.05,       2.22,       0.08,      11.79
Chai,2014-04-01,       0.03,       1.81,      21.33,       9.27,       1.86,       0.02,       0.05,       1.94,       0.07,      13.41
Chai,2014-04-26,       0.00,       2.03,      21.43,       9.08,       1.61,       0.02,       0.04,       1.66,       0.06,      15.03
Chai,2014-04-28,       0.00,       2.06,      21.54,       8.73,       1.38,       0.01,       0.04,       1.41,       0.06,      12.70
Chai,2014-05-09,       0.00,       2.09,      21.65,       8.37,       1.14,       0.01,       0.03,       1.16,       0.06,      10.37
Chai,2014-05-12,       0.05,       1.03,      22.96,      10.91,       1.67,       0.01,       0.06,       1.78,       0.09,       8.03
Chai,2014-05-16,       0.10,       1.97,      24.27,       8.31,       1.38,       0.01,       0.04,       1.60,       0.05,      21.00
Chai,2014-05-23,       0.01,       1.47,      22.52,       9.02,       1.54,       0.02,       0.04,       1.62,       0.09,      19.35
Chai,2014-05-31,       0.03,       0.73,      20.77,       9.34,       1.65,       0.02,       0.05,       1.75,       0.08,      16.74
Chai,2014-06-11,       0.04,       0.00,      19.02,       9.67,       1.75,       0.01,       0.06,       1.87,       0.07,      14.13
Chai,2014-06-13,       0.04,       2.12,      24.81,       8.49,       1.11,       0.01,       0.03,       1.37,       0.05,      22.00
Chai,2014-06-20,       0.04,       2.77,      24.37,       7.25,       0.80,       0.01,       0.02,       0.92,       0.02,      25.17
Chai,2014-07-07,       0.13,       2.03,      23.94,       7.05,       1.11,       0.02,       0.02,       1.33,       0.03,      26.82
Chai,2014-07-16,       0.22,       1.30,      23.50,       6.86,       1.42,       0.02,       0.03,       1.74,       0.03,      28.47
Chai,2014-08-03,       0.14,       2.05,      22.83,      11.50,       2.17,       0.02,       0.06,       2.54,       0.08,       3.00
Chai,2014-08-10,       0.17,       1.15,      24.27,       8.87,       1.71,       0.01,       0.06,       2.15,       0.07,      19.50
Chai,2014-08-13,       0.10,       1.18,      22.92,       7.11,       1.32,       0.01,       0.03,       1.56,       0.04,      25.00
Chai,2014-08-23,       0.13,       1.08,      22.24,       7.18,       1.09,       0.01,       0.02,       1.28,       0.04,      28.50
Chai,2014-08-29,       0.10,       1.50,      21.56,       7.96,       1.03,       0.01,       0.04,       1.18,       0.06,      20.00
